Entry Time,Exit Time,Symbol,Entry Price,Exit Price,Quantity,PnL ($),PnL (%),Win/Loss,Entry Reason,Exit Reason,Hold Time (min),Trailing Stop Used,Highest Price,Capital After,Notes
2026-02-16T17:21:21.644319,2026-02-16T21:21:41.468008,C98USDT,0.02986,0.03074,25553.341079323825,22.486940149804937,2.9470864032149993,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Max Hold Time,240,Yes,0.03074,5455.833631537375,C98USDT_2026-02-16T17:21:21.644319
2026-02-16T20:52:33.726638,,PEPEUSDT,4.511e-06,,179217611.3032533,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,4.511e-06,4581.220319337528,ポジションID: PEPEUSDT_2026-02-16T20:52:33.726638
2026-02-16T21:18:45.053481,,PYTHUSDT,0.057,,14459.207203588114,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.057,4670.323926758961,ポジションID: PYTHUSDT_2026-02-16T21:18:45.053481
2026-02-16T21:22:02.109152,,LUNAUSDT,0.06645,,12315.651538459088,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.06645,4637.458586806769,ポジションID: LUNAUSDT_2026-02-16T21:22:02.109152
2026-02-17T00:21:34.303257,2026-02-17T04:22:06.251816,POLUSDT,0.108,0.1077,10275.841882068056,-3.0827525646203626,-0.2777777777777729,Loss,SMA/EMA反発 + MACD上抜け + 出来高増,Max Hold Time,241,No,0.1083,5771.28547876872,POLUSDT_2026-02-17T00:21:34.303257
2026-02-17T00:29:44.842276,2026-02-17T02:06:08.085867,TNSRUSDT,0.05609,0.056134399999999994,16818.01185191385,0.746719726224858,0.07915849527543779,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Trailing Stop,96,Yes,0.05728,5487.738009494106,TNSRUSDT_2026-02-17T00:29:44.842276
2026-02-17T00:31:03.927048,2026-02-17T04:31:06.317080,MANTAUSDT,0.0806,0.0811,9948.187866721719,4.974093933360864,0.6203473945409435,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Max Hold Time,240,No,0.0817,5712.390692944544,MANTAUSDT_2026-02-17T00:31:03.927048
2026-02-17T02:06:59.790725,2026-02-17T06:07:23.378308,DYMUSDT,0.0476,0.048,17293.292046725124,6.917316818690008,0.8403361344537764,Win,SMA/EMA反発 + MACD上抜け + 出来高増,Max Hold Time,240,No,0.048,5685.610107245669,DYMUSDT_2026-02-17T02:06:59.790725
2026-02-17T02:33:21.482944,,LQTYUSDT,0.273,,5503.6101098678355,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.273,6009.942239975676,ポジションID: LQTYUSDT_2026-02-17T02:33:21.482944
2026-02-17T04:23:00.004438,,POLUSDT,0.1077,,8038.002059566462,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.1077,4905.592656953412,ポジションID: POLUSDT_2026-02-17T04:23:00.004438
2026-02-17T04:31:58.305242,,PYTHUSDT,0.05719,,14982.664870461296,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.05719,4855.532089002862,ポジションID: PYTHUSDT_2026-02-17T04:31:58.305242
2026-02-17T06:12:50.235357,,OMUSDT,0.0616,,13844.82980660471,,,Open,SMA/EMA反発 + MACD上抜け + 出来高増,,,No,0.0616,4832.768591158819,ポジションID: OMUSDT_2026-02-17T06:12:50.235357
